language ,health,disease,illness,cancer,heart
Germany,0.86,0.01,0.04,0.06,0.11
Netherlands,0.91,0.08,NA,0.07,0.19
Bulgaria,NA,1.06,NA,1.06,NA
Croatia,1.08,0.05,NA,NA,NA
Greece,3.23,NA,NA,NA,NA
Czech Republic,1.29,0.09,0.46,NA,NA
Denmark,2.94,NA,NA,NA,NA
Estonia,NA,NA,NA,NA,NA
Finland,1.2,0.03,NA,0.05,0.12
Hungary,1.76,0.59,NA,0.29,0.44
Iceland,0.96,NA,NA,NA,NA
Ireland,1.53,NA,NA,NA,NA
Italy,0.9,0.01,0.06,0.1,0.3
Latvia,0.44,NA,NA,NA,NA
Lithuania,NA,NA,NA,NA,NA
Norway,1.47,NA,NA,NA,NA
Poland,1.77,0.44,NA,0.93,0.15
Romania,NA,3.85,NA,NA,NA
Slovakia,NA,NA,NA,NA,NA
Slovenia,NA,NA,NA,NA,NA
Sweden,0.22,0.22,NA,0.11,0.11
Turkey,1.65,0.92,NA,0.05,0.15